experiment,backbone,image_size,augmentations,val_mean_f1,val_acc_mat,val_acc_frag
resnet50_aug_224,resnet50,224,да,0.6283678333488422,0.8070175438596491,0.8991228070175439
resnet50_aug_384,resnet50,384,да,0.565311563012969,0.7763157894736842,0.9035087719298246
resnet50_noaug_224,resnet50,224,нет,0.5808531458027975,0.7850877192982456,0.8991228070175439
resnet50_classweights_224,resnet50,224,да,0.6035005436764226,0.7192982456140351,0.8771929824561403
