epoch,train_loss,train_acc_mat,train_acc_frag,val_loss,val_acc_mat,val_acc_frag,val_f1_mat,val_f1_frag,mean_val_f1
1,1.2244334386697102,0.6588579795021962,0.9106881405563689,1.3564940492312114,0.7236842105263158,0.9122807017543859,0.35103680482990823,0.47706422018348627,0.4140505125066972
2,1.02832474610816,0.7437774524158126,0.9165446559297218,1.2108726323696606,0.618421052631579,0.9166666666666666,0.3067844217576838,0.4782608695652174,0.39252264566145056
3,0.9215392617844209,0.7569546120058566,0.9282576866764275,1.0452197926086293,0.7894736842105263,0.8464912280701754,0.39785474243678576,0.5506503744580213,0.47425255844740355
4,0.8489126484530213,0.7628111273792094,0.9165446559297218,1.0496617798742496,0.7456140350877193,0.9254385964912281,0.3759747282895431,0.640278422273782,0.5081265752816625
5,0.8176322853408132,0.7994143484626647,0.9297218155197657,1.1215997385351282,0.7675438596491229,0.9210526315789473,0.3893330818449436,0.657543391188251,0.5234382365165973
6,0.68339950134255,0.8125915080527086,0.9399707174231332,1.2326676521384925,0.7236842105263158,0.881578947368421,0.3948644735656674,0.5822192059721751,0.4885418397689213
7,0.7061469588063297,0.8155197657393851,0.9238653001464129,1.6759690265906484,0.5570175438596491,0.8771929824561403,0.30311748138132355,0.4672897196261682,0.3852036005037459
8,0.6952884623761757,0.8096632503660323,0.9487554904831625,1.129547357559204,0.7105263157894737,0.9035087719298246,0.37670364381243154,0.6303066037735849,0.5035051237930083
9,0.6014440317977748,0.8374816983894583,0.9516837481698389,1.4087248831464534,0.7280701754385965,0.8859649122807017,0.3321631323735778,0.7178217821782178,0.5249924572758978
10,0.5730332157207793,0.8521229868228404,0.9385065885797951,1.2202423780895115,0.7543859649122807,0.9166666666666666,0.41818302068302066,0.5257799671592776,0.4719814939211491
11,0.4445168442075109,0.8872620790629575,0.972181551976574,1.1696199149939053,0.7587719298245614,0.8859649122807017,0.5254221711066837,0.6973039215686274,0.6113630463376556
12,0.43746054493229003,0.8857979502196194,0.9575402635431918,1.1557570494580687,0.8114035087719298,0.9078947368421053,0.47502205631191136,0.6133408705483323,0.5441814634301219
13,0.3553662649621726,0.9062957540263543,0.9736456808199122,1.2225151072468674,0.7675438596491229,0.8947368421052632,0.44811991134473167,0.6711538461538462,0.5596368787492889
14,0.3976293351081245,0.8814055636896047,0.972181551976574,1.2608410041583211,0.7456140350877193,0.8991228070175439,0.42021209381895236,0.6441126569392603,0.5321623753791064
15,0.28240604945738007,0.9341142020497804,0.9648609077598829,1.1957852296661913,0.8070175438596491,0.8991228070175439,0.5949927782244856,0.6617428884731987,0.6283678333488422
16,0.24140849537154765,0.9428989751098097,0.9736456808199122,1.2250315719529201,0.7675438596491229,0.8728070175438597,0.5440244683620031,0.5934329459509315,0.5687287071564673
17,0.16741509349419467,0.9633967789165446,0.9795021961932651,1.4431825010922916,0.7324561403508771,0.9166666666666666,0.4947537074444932,0.6711954459203036,0.5829745766823984
18,0.2542664361667668,0.9326500732064422,0.9897510980966325,1.3197756969092185,0.7763157894736842,0.881578947368421,0.4554919089093555,0.6214720531267294,0.5384819810180425
19,0.1929689627113489,0.95900439238653,0.9765739385065886,1.3579094613853253,0.7543859649122807,0.8947368421052632,0.49710172868067604,0.638095238095238,0.567598483387957
20,0.09494538080509027,0.9736456808199122,0.9912152269399708,1.45495108939838,0.7807017543859649,0.8991228070175439,0.4997042218551983,0.6019734345351044,0.5508388281951514
21,0.10795615225659456,0.9780380673499268,0.9926793557833089,1.5417179721489287,0.7587719298245614,0.8859649122807017,0.5156960178023211,0.6267942583732058,0.5712451380877634
22,0.06529394007904256,0.9926793557833089,0.9956076134699854,1.6209692306685866,0.7719298245614035,0.8947368421052632,0.5203047691039032,0.6186228045720658,0.5694637868379845
23,0.06508556929571038,0.9897510980966325,0.9941434846266471,1.4959337310048573,0.7763157894736842,0.881578947368421,0.4617496501762403,0.6029155647294072,0.5323326074528237
24,0.07741205330998098,0.9795021961932651,0.9941434846266471,1.571315216652134,0.7675438596491229,0.8947368421052632,0.44249652156628905,0.6186228045720658,0.5305596630691773
25,0.06711759472519464,0.9809663250366032,0.9970717423133236,1.6135032602438801,0.7850877192982456,0.8903508771929824,0.5181053379682201,0.6131659314557176,0.5656356347119689
26,0.08322085324118506,0.9853587115666179,0.9985358711566618,1.5620055745698904,0.7719298245614035,0.8859649122807017,0.44649000926187615,0.607936507936508,0.5272132585991921
27,0.040814015408909686,0.9941434846266471,0.9970717423133236,1.5200745756166023,0.7719298245614035,0.8859649122807017,0.47456804712902273,0.607936507936508,0.5412522775327654
28,0.03511895109540721,0.9941434846266471,0.9985358711566618,1.5670828965672277,0.7675438596491229,0.8903508771929824,0.49562218645212147,0.6131659314557176,0.5543940589539196
29,0.05016346372893055,0.986822840409956,0.9926793557833089,1.5222207495387186,0.7894736842105263,0.8903508771929824,0.5265835494708734,0.6131659314557176,0.5698747404632956
30,0.06038351110721315,0.9897510980966325,0.9985358711566618,1.5747089199068254,0.7675438596491229,0.881578947368421,0.4931206311602468,0.6029155647294072,0.548018097944827
